Date,Ticker,Open,High,Low,Close,Volume,Shares,Purchase_Price,Purchase_Date,Asset_Name,Asset_Class,Position_Value,Cost_Basis,Unrealized_Gain,Unrealized_Gain_Pct,Price_Change,Price_Change_Pct
2025-08-28,V,349.9069233222199,350.346055945855,347.91087701742373,349.1683654785156,4987100.0,110,272.3,10/02/2025,Visa Inc,Equity,38408.52020263672,29953.0,8455.520202636719,28.229293234857007,-0.489044189453125,-0.13986381410235893
2025-08-29,V,349.7671968129017,351.9329205250827,348.31009149114084,351.0845947265625,3671900.0,110,272.3,10/02/2025,Visa Inc,Equity,38619.305419921875,29953.0,8666.305419921875,28.93301312029471,1.916229248046875,0.5487980692124861
2025-09-02,V,348.61945288912835,349.47776860832124,345.3958272535904,349.3779602050781,4940300.0,110,272.3,10/02/2025,Visa Inc,Equity,38431.575622558594,29953.0,8478.575622558594,28.306265224046317,-1.706634521484375,-0.4861035052858287
2025-09-03,V,348.6494173400271,350.1963715579915,346.57354250720647,350.1763916015625,4176400.0,110,272.3,10/02/2025,Visa Inc,Equity,38519.403076171875,29953.0,8566.403076171875,28.59948277692343,0.798431396484375,0.2285294115334846
2025-09-04,V,350.0366772649394,351.932915195873,348.45978360079187,350.296142578125,4324000.0,110,272.3,10/02/2025,Visa Inc,Equity,38532.57568359375,29953.0,8579.57568359375,28.643460366553438,0.1197509765625,0.03419733009835113
2025-09-05,V,350.6853763972418,351.9229153466072,339.52748498298126,342.54150390625,5448300.0,110,272.3,10/02/2025,Visa Inc,Equity,37679.5654296875,29953.0,7726.5654296875,25.795631254590525,-7.754638671875,-2.2137379574899363
2025-09-08,V,341.66325098834,343.69922679881483,340.3259035851335,341.6233215332031,4711600.0,110,272.3,10/02/2025,Visa Inc,Equity,37578.565368652344,29953.0,7625.565368652344,25.45843611208341,-0.918182373046875,-0.26804996258151803
2025-09-09,V,341.0145260229184,345.63537799199776,340.61532286202095,343.3099670410156,4646200.0,110,272.3,10/02/2025,Visa Inc,Equity,37764.09637451172,29953.0,7811.096374511719,26.07784320272333,1.6866455078125,0.4937149783108552
2025-09-10,V,341.9326826147683,341.9326826147683,335.7748970908229,337.4515686035156,6557900.0,110,272.3,10/02/2025,Visa Inc,Equity,37119.67254638672,29953.0,7166.672546386719,23.92639317058965,-5.8583984375,-1.7064457778471875
2025-09-11,V,338.0604044707068,342.8509035765299,337.20208869370686,342.8109741210937,5157600.0,110,272.3,10/02/2025,Visa Inc,Equity,37709.207153320305,29953.0,7756.207153320305,25.894592038594816,5.359405517578068,1.5881999125850976
2025-09-12,V,340.54547271636574,342.5115796109092,338.4995373681392,338.7590026855469,3518300.0,110,272.3,10/02/2025,Visa Inc,Equity,37263.490295410156,29953.0,7310.490295410156,24.406537894067895,-4.051971435546818,-1.1819841666199093
2025-09-15,V,339.9366438716623,342.0324985372332,337.721061760836,338.3797302246094,4367500.0,110,272.3,10/02/2025,Visa Inc,Equity,37221.77032470703,29953.0,7268.770324707031,24.267253112232602,-0.3792724609375,-0.11195937463824857
2025-09-16,V,335.575302246398,339.8668201685256,332.8107890193003,339.3578186035156,5527700.0,110,272.3,10/02/2025,Visa Inc,Equity,37329.36004638672,29953.0,7376.360046386719,24.626448256891525,0.97808837890625,0.289050522694434
2025-09-17,V,339.26799036565296,345.515625,338.8488072435413,345.515625,5763500.0,110,272.3,10/02/2025,Visa Inc,Equity,38006.71875,29953.0,8053.71875,26.88785347043702,6.157806396484375,1.8145467877605626
2025-09-18,V,344.0485447690237,344.5874553616447,337.511474609375,337.511474609375,7526600.0,110,272.3,10/02/2025,Visa Inc,Equity,37126.26220703125,29953.0,7173.26220703125,23.94839317274146,-8.004150390625,-2.316581309636867
2025-09-19,V,339.77698185363715,342.0125438860296,337.5813188166458,340.9346618652344,13674300.0,110,272.3,10/02/2025,Visa Inc,Equity,37502.81280517578,29953.0,7549.812805175781,25.205531349700465,3.423187255859375,1.0142432223441578
2025-09-22,V,338.3398303673624,344.1782413003248,337.99051618111497,343.6792297363281,5621800.0,110,272.3,10/02/2025,Visa Inc,Equity,37804.715270996094,29953.0,7851.715270996094,26.213451978085985,2.74456787109375,0.8050128596718054
2025-09-23,V,343.9087971187826,344.57748603730715,336.96256445181376,338.03045654296875,10142700.0,110,272.3,10/02/2025,Visa Inc,Equity,37183.35021972656,29953.0,7230.3502197265625,24.138985142478425,-5.648773193359375,-1.6436178577603155
2025-09-24,V,338.4595901222519,339.2280569704037,337.25199065879923,338.0104675292969,5207400.0,110,272.3,10/02/2025,Visa Inc,Equity,37181.151428222656,29953.0,7228.151428222656,24.13164433686995,-0.019989013671875,-0.005913376527166836
2025-09-25,V,337.68113584414385,339.5274847464182,333.8487306376266,334.26788330078125,5398700.0,110,272.3,10/02/2025,Visa Inc,Equity,36769.46716308594,29953.0,6816.4671630859375,22.757210172890655,-3.742584228515625,-1.1072391502760848
2025-09-26,V,336.56335656214355,338.8288581394381,335.5653334159302,336.7030639648437,9619200.0,110,272.3,10/02/2025,Visa Inc,Equity,37037.337036132805,29953.0,7084.337036132805,23.65151082072849,2.435180664062443,0.7285117074413039
2025-09-29,V,336.71304576730614,339.96661089128565,334.8866463980206,339.487548828125,7217800.0,110,272.3,10/02/2025,Visa Inc,Equity,37343.63037109375,29953.0,7390.63037109375,24.674090645657362,2.784484863281307,0.8269853058337606
