Date,Portfolio_Value,Daily_Return,Cumulative_Return,Peak,Drawdown,Daily_Return_Pct,Portfolio_Gain_Loss,Return_Category
2025-09-22,473877.9598999024,0.0014326932077328,47.94933210292085,473877.9598999024,0.0,0.14326932077328,153580.49510955816,Positive
2025-09-23,471460.6270599365,-0.0051011717035256,47.19461715644191,473877.9598999024,-0.5101171703525642,-0.51011717035256,151163.16226959229,Negative
2025-09-24,470211.4919281006,-0.0026495004251482,46.80462495570639,473877.9598999024,-0.773715657207652,-0.26495004251482,149914.02713775635,Negative
2025-09-25,469550.0325012207,-0.0014067274795168,46.59811085566104,473877.9598999024,-0.913299998083017,-0.14067274795168,149252.56771087646,Negative
2025-09-26,471815.283203125,0.0048243010224866,47.30534427175661,473877.9598999024,-0.4352759299489306,0.48243010224866,151517.81841278076,Positive
2025-09-29,473470.8994293213,0.0035090347539326,47.8222438442462,473877.9598999024,-0.0858998529214227,0.35090347539326,153173.43463897705,Positive
2025-09-30,475211.5824127197,0.0036764307700778,48.36570209001716,475211.5824127197,0.0,0.36764307700778004,154914.1176223755,Positive
2025-10-01,475749.5036315918,0.0011319615067901,48.53364635371096,475749.5036315918,0.0,0.11319615067901,155452.03884124756,Positive
2025-10-02,513295.135345459,0.0789189088528015,60.25575965187373,513295.135345459,0.0,7.891890885280151,192997.67055511475,Positive
2025-10-03,514535.3435516357,0.0024161698032498,60.642964779141465,514535.3435516357,0.0,0.24161698032498002,194237.87876129145,Positive
2025-10-06,516309.0664672852,0.0034472324163508,61.19673841478684,516309.0664672852,0.0,0.34472324163508,196011.60167694098,Positive
2025-10-07,515399.82780456543,-0.001761035631121,60.91286521481789,516309.0664672852,-0.1761035631121066,-0.17610356311210001,195102.3630142212,Negative
2025-10-08,516450.9712219238,0.0020394718054834,61.24104246656306,516450.9712219238,0.0,0.20394718054834002,196153.5064315796,Positive
2025-10-09,515564.4207000733,-0.0017166208822358,60.96425272599146,516450.9712219238,-0.1716620882235897,-0.17166208822357998,195266.95590972906,Negative
2025-10-10,504740.9037017822,-0.0209935297389102,57.5850448994869,516450.9712219238,-2.267411268960451,-2.09935297389102,184443.438911438,Negative
2025-10-13,510616.3649749756,0.0116405491017324,59.41942135233808,516450.9712219238,-1.129750270997376,1.16405491017324,190318.90018463135,Positive
2025-10-14,508984.1313934326,-0.0031965947304155,58.9098220701173,516450.9712219238,-1.4457983902759763,-0.31965947304155,188686.66660308838,Negative
2025-10-15,510484.6524810791,0.0029480704703672,59.37829942401351,516450.9712219238,-1.1552536587797313,0.29480704703672,190187.18769073486,Positive
2025-10-16,507297.16972351074,-0.006244032493585,58.38313614363764,516450.9712219238,-1.772443466754492,-0.6244032493585,186999.7049331665,Negative
2025-10-17,510395.0030517578,0.0061065456563367,59.35030999569258,516450.9712219238,-1.1726124080738145,0.61065456563367,190097.53826141357,Positive
2025-10-20,516006.01638793945,0.0109934723158184,61.10212321714732,516450.9712219238,-0.0861562585373065,1.09934723158184,195708.55159759521,Positive
2025-10-21,515707.61810302734,-0.0005782845072251,61.00896035520977,516450.9712219238,-0.143934886430308,-0.05782845072251,195410.1533126831,Negative
2025-10-22,513326.30516052246,-0.0046175640206058,60.265491172878406,516450.9712219238,-0.6050266599380016,-0.46175640206058005,193028.84037017822,Negative
2025-10-23,514945.719833374,0.0031547471005701,60.77108826647751,516450.9712219238,-0.2914606559821897,0.31547471005701,194648.25504302979,Positive
2025-10-24,519535.9100341797,0.008913930194994,62.20419052465811,519535.9100341797,0.0,0.8913930194994001,199238.44524383545,Positive
2025-10-27,525766.7719268799,0.0119931303541467,64.14952652560919,525766.7719268799,0.0,1.19931303541467,205469.30713653564,Positive
2025-10-28,528159.1055297852,0.0045501802902789,64.89643646586465,528159.1055297852,0.0,0.45501802902789,207861.64073944092,Positive
2025-10-29,528045.0452423096,-0.0002159581957054,64.86082572896723,528159.1055297852,-0.0215958195705412,-0.02159581957054,207747.58045196533,Negative
